품목분류(HS),HSK품목명,HSK영문명,통제번호
303530000,"정어리[사르디나 필차르두스(Sardina pilchardus)ㆍ사르디노프스(Sardinops)속], 사르디넬라[사르디넬라(Sardinella)속], 브리스링(brisling)이나 스프랫(sprats)[스프라투스 스프라투스(Sprattus sprattus)]","Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",
8002000000,주석의 웨이스트(waste)와 스크랩(scrap),Tin waste and scrap.,
5516411000,비스코스레이온(viscose rayon)의 것,Of viscose rayon,
0603139000,기타,Other,
2919901010,농약원제(農藥原劑)(｢농약관리법｣에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),
3305901000,헤어린스,Hair rinses,
8462490000,기타,Other,
4809202000,두 겹 이상의 것,Multi-ply,
2903230000,사염화에틸렌(과염화에틸렌),Tetrachloroethylene (perchloroethylene),
4810139000,기타,Other,
9029900000,부분품과 부속품,Parts and accessories,
6403120000,스키부츠ㆍ크로스컨트리스키화ㆍ스노보드부츠,"Ski-boots, cross-country ski footwear and snowboard boots",
7108139090,기타,Other,
2009399000,기타,Other,
5302902020,대마의 웨이스트(waste),Waste of true hemp,
2710121000,자동차 휘발유,Motor spirit,
5206340000,구성하는 단사가 192.31데시텍스 미만 125데시텍스 이상인 것(단사당 미터식 번수 52수 초과 80수 이하),Measuring per single yarn less than 192.31 decitex but not less than 125 decitex (exceeding 52 metric number but not exceeding 80 metric number per single yarn),
304439000,기타,Other,
2916399090,기타,Other,
9013802000,"확대경, 루페, 섬유 카운터","Magnifiers, loupes, thread counters",
0301992000,방어,Yellow tail,
307194000,훈제한 것,Smoked,
5303909010,황마의 토우(tow)와 웨이스트(waste),Tow and waste of jute,
4114201000,페이턴트 레더(patent leather),Patent leather,
3215906030,유성ㆍ수성 겸용,Of oil and water,
103920000,중량이 50킬로그램 이상인 것,Weighing 50 kg or more,
2907192000,크실레놀과 이들의 염,Xylenols and their salts,
0206210000,혀,Tongues,
4003000000,재생고무[일차제품(primary form)ㆍ판ㆍ시트(sheet)ㆍ스트립 모양으로 한정한다],"Reclaimed rubber in primary forms or in plates, sheets or strip.",
4907009000,기타,Other,
8510902000,이발기의 것,Of hair clippers,
3003903000,비타민제제,Preparations containing vitamins,
7501209010,니켈의 함유량이 전 중량의 100분의 88 이상인 것,Containing by weight 88 % or more of nickel,
809300000,복숭아[넥터린(nectarine)을 포함한다],"Peaches, including nectarines",
4302201000,밍크의 것,Of mink,
2208901000,브랜디류(소호 제2208.20호의 것은 제외한다),Brandies other than that of subheading 2208.20,
8519812000,자기식 매체를 이용하는 기기,Using magnetic media,
6104290000,그 밖의 방직용 섬유로 만든 것,Of other textile materials,
2927002990,기타,Other,
8475291000,판유리 제조용,For the manufacture of plate glass,
8456121000,"인쇄회로, 인쇄회로조립품, 제8517호의 부분품 또는 자동자료처리기계의 부분품의 제조에 전용 또는 주로 사용되는 종류의 것","Of a kind used solely or principally for the manufacture of printed circuits, printed circuit assemblies, parts of heading 85.17, or parts of automatic data processing machines",
1302199031,당귀(當歸) 추출물,"Angelicae Gigantis Radix Extract (Angelica gigas, Angelica acutiloba)",
4408109100,합판 제조용,For manufacturing plywood,
1605571000,밀폐용기에 넣은 것,In airtight containers,
4203214000,모터싸이클장갑,Motor cycle glove,
8701211000,신차,New,
8503003000,회전변환기의 것,Of rotary converters,
302590000,기타,Other,
3824810000,옥시란(산화에틸렌)을 함유한 것,Containing oxirane (ethylene oxide),
8529906023,그 밖의 유기발광 디스플레이 방식용,"Other, for organic light-emitting display (OLED) type",
8703337000,신차,New,
2710197330,자동변속기용 윤활유,Automatic transmission fluid,
2818301000,알루미나겔,Alumina gel,
6704209000,기타,Other,
2906290000,기타,Other,
5402461000,폴리 트리메틸렌 테레프탈레이트의 것,Of poly trimethylene terephthalate,
2006003000,생강,Ginger,
6112110000,면으로 만든 것,Of cotton,
2935500000,그 밖의 과불화옥탄 술폰아미드,Other perfluorooctane sulphonamides,
0511999030,동물의 사체(제3류 물품의 사체는 제외한다),"Dead animals, other than products of dead animals of Chapter 3",
4403991020,흑단(ebony wood),Ebonywood,
1802001000,코코아의 껍데기와 껍질,"Cocoa shells, husks and skins",
0304959000,기타,Other,
0307194000,훈제한 것,Smoked,
5801360000,셔닐(chenille)직물,Chenille fabrics,
0106903020,실지렁이,Sludge worms,
9019204000,인공호흡기,Artificial respiration apparatus,
2501001020,천일염,Sea salt made by the heat of the sun,
3907690000,기타,Other,
8213001000,가정용ㆍ사무용 가위,Ordinary scissors,
2804619000,기타,Other,
5208430000,3올이나 4올의 능직물(綾織物)[파사문직(破斜文織)의 것을 포함한다],"3-thread or 4-thread twill, including cross twill",
7005292030,유기발광 디스플레이 패널용,For OLED (organic light-emitting display),
